"psig","qval","med_q_val","is_sig"
0,0.362881,0.342715,FALSE
0.00601202,0.149685,0.416316,FALSE
0,0.743449,0.776611,FALSE
0.61523,0.0420119,0.0456253,TRUE
1,7.33808e-07,7.91227e-07,TRUE
0,0.756571,0.755438,FALSE
0,0.899723,0.961358,FALSE
0.460922,0.0636322,0.0524682,FALSE
1,9.08665e-05,0.000103711,TRUE
0,0.53013,0.520837,FALSE
0.0380762,0.147464,0.150131,FALSE
0,0.998435,0.998422,FALSE
0.0480962,0.173094,0.266009,FALSE
1,0.00216062,0.00176768,TRUE
0,0.296365,0.327605,FALSE
0,0.206264,0.228157,FALSE
0,0.300636,0.366665,FALSE
0,0.945882,0.8924,FALSE
0,0.998435,0.998417,FALSE
0,0.998435,0.99067,FALSE
0,0.403036,0.459691,FALSE
0,0.724265,0.688422,FALSE
0,0.468565,0.460881,FALSE
0,0.334232,0.324937,FALSE
0,0.998435,0.998422,FALSE
0.985972,0.0150371,0.0234055,TRUE
0.957916,0.0220159,0.0212642,TRUE
0,0.377118,0.372514,FALSE
1,2.91029e-06,2.30116e-05,TRUE
0,0.998435,0.998403,FALSE
0,0.998435,0.998422,FALSE
0,0.425565,0.412701,FALSE
0,0.455124,0.480304,FALSE
0,0.998435,0.99839,FALSE
0.997996,0.00774661,0.00674238,TRUE
0,0.925155,0.887015,FALSE
0,0.91199,0.919657,FALSE
1,1.98283e-10,4.41747e-10,TRUE
0,0.377137,0.375026,FALSE
0,0.671204,0.655467,FALSE
0,0.998435,0.998422,FALSE
0,0.998435,0.998422,FALSE
0,0.536297,0.500699,FALSE
0,0.253556,0.279295,FALSE
0,0.998435,0.998422,FALSE
0,0.998435,0.998422,FALSE
0.521042,0.0305167,0.0486625,TRUE
0,0.494725,0.511995,FALSE
0,0.647711,0.725503,FALSE
0,0.805461,0.762175,FALSE
0,0.998435,0.998393,FALSE
0,0.320428,0.316978,FALSE
0,0.998435,0.9984,FALSE
0.00200401,0.103657,0.13681,FALSE
0.975952,0.0198008,0.0216654,TRUE
1,0.0108941,0.00719244,TRUE
0,0.520318,0.515338,FALSE
0,0.878002,0.886742,FALSE
1,0.000572346,0.000278764,TRUE
0,0.686779,0.801884,FALSE
0,0.152113,0.148424,FALSE
0,0.6464,0.645506,FALSE
0.995992,0.0142759,0.0180489,TRUE
0,0.530487,0.760322,FALSE
0.01002,0.998435,0.998416,FALSE
0,0.800244,0.777432,FALSE
0,0.372984,0.365547,FALSE
0,0.998435,0.998406,FALSE
0,0.692591,0.720622,FALSE
0,0.305496,0.338189,FALSE
0,0.998435,0.998422,FALSE
0.0140281,0.151584,0.125978,FALSE
0.637275,0.00935141,0.0384481,TRUE
0,0.558505,0.70541,FALSE
0,0.382161,0.333654,FALSE
0,0.998435,0.998396,FALSE
0,0.998435,0.998422,FALSE
